checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,6,no credits taken/all paid back duly,television,1169,no known savings account,>=7,4.0,male single,none,4,real estate,67,none,own,2,skilled,1,,,good
0<=X<20000,48,existing paid,television,5951,<100,1<=X<4,2.0,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,,,bad
no checking account,12,no credits taken/all paid back duly,furniture/equipment,2096,<100,4<=X<7,2.0,male single,none,3,real estate,49,none,own,1,unskilled,2,,,good
<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2.0,male single,guarantor,4,life insurance,45,none,free,1,skilled,2,,,good
<0,24,no credits taken/all paid back duly,car,4870,<100,1<=X<4,3.0,male single,none,4,no known property,53,none,free,2,skilled,2,,,bad
no checking account,36,existing paid,furniture/equipment,9055,no known savings account,1<=X<4,2.0,male single,none,4,no known property,35,none,free,1,unskilled,2,,,good
no checking account,24,existing paid,furniture/equipment,2835,100<=X<1000,>=7,3.0,male single,none,4,life insurance,53,none,own,1,skilled,1,,,good
0<=X<20000,36,existing paid,car,6948,<100,1<=X<4,2.0,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,,,good
no checking account,12,existing paid,television,3059,>=10000,4<=X<7,2.0,male div/sep,none,4,real estate,61,none,own,1,unskilled,1,,,good
0<=X<20000,30,no credits taken/all paid back duly,car,5234,<100,unemployed,4.0,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,,,bad
0<=X<20000,12,existing paid,car,1295,<100,<1,3.0,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,,,bad
<0,48,existing paid,furniture/equipment,4308,<100,<1,3.0,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,,,bad
0<=X<20000,12,existing paid,television,1567,<100,1<=X<4,1.0,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,,,good
<0,24,no credits taken/all paid back duly,car,1199,<100,>=7,4.0,male single,none,4,car,60,none,own,2,unskilled,1,,,bad
<0,15,existing paid,car,1403,<100,1<=X<4,2.0,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,,,good
